Ranking,Player Name,Team,Designation,Points
116,Salil Arora,Sunrisers Hyderabad,Wicketkeeper Batter,173.25
117,Mukesh Choudhary,Chennai Super Kings,Bowler,170.4
118,Tushar Deshpande,Rajasthan Royals,Bowler,170.2
119,Nehal Wadhera,Punjab Kings,Top order Batter,168.25
120,Jasprit Bumrah,Mumbai Indians,Bowler,166.0
121,Abhinandan Singh,Royal Challengers Bengaluru,Bowler,156.4
122,Marcus Stoinis,Punjab Kings,Allrounder,138.6
123,Khaleel Ahmed,Chennai Super Kings,Bowler,132.2
124,Nicholas Pooran,Lucknow Super Giants,Wicketkeeper Batter,124.75
125,Rahul Tewatia,Gujarat Titans,Bowling Allrounder,121.75
126,Abdul Samad,Lucknow Super Giants,Batter,117.25
127,M Shahrukh Khan,Gujarat Titans,Batter,103.25
128,David Payne,Sunrisers Hyderabad,Allrounder,98.0
129,Matt Henry,Chennai Super Kings,Bowler,97.0
130,Prashant Veer,Chennai Super Kings,Bowling Allrounder,87.0
131,Jason Holder,Gujarat Titans,Bowling Allrounder,84.5
132,Liam Livingstone,Sunrisers Hyderabad,Allrounder,76.0
133,Dilshan Madushanka,Unknown,Unknown,75.2
134,Tim Seifert,Kolkata Knight Riders,Wicketkeeper Batter,69.5
135,Vipraj Nigam,Delhi Capitals,Bowler,68.0
136,Kartik Sharma,Chennai Super Kings,Wicketkeeper Batter,64.5
137,Pat Cummins,Sunrisers Hyderabad,Bowler,64.4
138,Venkatesh Iyer,Royal Challengers Bengaluru,Allrounder,59.25
139,Yash Raj Punja,Rajasthan Royals,Bowler,59.0
140,Ashutosh Sharma,Delhi Capitals,Allrounder,58.0
141,Manav Suthar,Gujarat Titans,Bowling Allrounder,55.8
142,Corbin Bosch,Mumbai Indians,Allrounder,49.8
143,Deepak Chahar,Mumbai Indians,Bowler,48.4
144,Matthew Short,Chennai Super Kings,Allrounder,44.35
145,George Linde,Unknown,Unknown,40.15000000000001
146,Shubham Dubey,Rajasthan Royals,Middle order Batter,37.25
147,Kumar Kushagra,Gujarat Titans,Wicketkeeper Batter,36.5
